datestop,sex,race,age,city
08272004,M,B,23,BROOKLYN
01022004,F,B,39,BROOKLYN
01022004,M,B,17,BROOKLYN
01062004,M,B,49,BROOKLYN
01072004,M,Z,45,BROOKLYN
01102004,Z,Z,35,BROOKLYN
01142004,M,B,17,BROOKLYN
01152004,M,B,24,BROOKLYN
01232004,M,B,24,BROOKLYN
01232004,M,Z,29,BROOKLYN
01232004,Z,B,30,BROOKLYN
01262004,M,Q,20,BROOKLYN
01282004,M,B,16,BROOKLYN
02022004,M,B,48,BROOKLYN
02062004,M,B,44,BROOKLYN
02062004,M,Z,16,BROOKLYN
02072004,M,B,22,BROOKLYN
02072004,M,B,23,BROOKLYN
02092004,M,Q,22,BROOKLYN
02132004,F,B,40,BROOKLYN
02132004,M,B,14,BROOKLYN
02132004,M,B,34,BROOKLYN
02132004,M,B,27,BROOKLYN
02142004,M,B,55,BROOKLYN
02142004,M,Q,44,BROOKLYN
02182004,Z,Z,23,BROOKLYN
02202004,M,B,47,BROOKLYN
03042004,M,B,18,BROOKLYN
03052004,M,B,45,BROOKLYN
03072004,M,W,56,BROOKLYN
03132004,M,B,24,BROOKLYN
03172004,Z,Z,46,BROOKLYN
04022004,M,Q,45,BROOKLYN
04162004,F,Q,30,BROOKLYN
04232004,M,Q,18,BROOKLYN
05102004,M,W,34,BROOKLYN
05272004,M,W,38,BROOKLYN
05282004,M,B,18,BROOKLYN
06272004,M,B,33,BROOKLYN
06302004,M,B,21,BROOKLYN
07032004,M,B,35,BROOKLYN
07042004,M,Z,22,BROOKLYN
07182004,M,B,26,BROOKLYN
07192004,M,Q,26,BROOKLYN
07232004,M,B,26,BROOKLYN
07242004,M,B,21,BROOKLYN
07272004,Z,Z,20,BROOKLYN
07282004,M,Q,34,BROOKLYN
08022004,Z,Z,30,BROOKLYN
08172004,M,Q,32,BROOKLYN
09112004,M,Q,14,BROOKLYN
10072004,M,B,19,BROOKLYN
10072004,M,Q,18,BROOKLYN
11182004,M,B,27,BROOKLYN
11262004,M,B,17,BROOKLYN
01032004,M,B,39,BROOKLYN
01032004,M,B,19,BROOKLYN
01052004,F,Z,14,BROOKLYN
01182004,M,B,17,BROOKLYN
01252004,M,B,22,BROOKLYN
01252004,M,B,24,BROOKLYN
01282004,M,B,17,BROOKLYN
02062004,M,Q,23,BROOKLYN
02102004,M,B,18,BROOKLYN
02122004,M,B,25,BROOKLYN
02142004,M,B,59,BROOKLYN
02162004,M,P,33,BROOKLYN
02202004,Z,Z,34,BROOKLYN
02202004,Z,Z,20,BROOKLYN
02282004,Z,Z,42,BROOKLYN
03022004,M,P,22,BROOKLYN
03092004,M,Q,24,BROOKLYN
03102004,M,B,31,BROOKLYN
03272004,M,B,23,BROOKLYN
04022004,F,W,35,BROOKLYN
04032004,M,B,40,BROOKLYN
04252004,M,B,40,BROOKLYN
05032004,M,B,23,BROOKLYN
05052004,M,B,19,BROOKLYN
05052004,M,Q,17,BROOKLYN
05072004,M,B,36,BROOKLYN
05072004,M,B,22,BROOKLYN
05072004,M,B,25,BROOKLYN
05092004,M,B,23,BROOKLYN
05312004,F,Q,65,BROOKLYN
06192004,F,Q,28,BROOKLYN
06202004,M,Q,29,BROOKLYN
07082004,M,Z,14,BROOKLYN
07122004,M,B,33,BROOKLYN
07132004,M,Q,49,BROOKLYN
07152004,M,B,23,BROOKLYN
07182004,M,B,17,BROOKLYN
07182004,M,B,25,BROOKLYN
07182004,M,B,16,BROOKLYN
07242004,M,B,35,BROOKLYN
08252004,M,B,22,BROOKLYN
08252004,M,B,17,BROOKLYN
08252004,M,B,28,BROOKLYN
08252004,M,B,22,BROOKLYN
08252004,M,B,19,BROOKLYN
08262004,M,B,38,BROOKLYN
08272004,M,B,41,BROOKLYN
08302004,M,B,17,BROOKLYN
10082004,F,B,48,BROOKLYN
10082004,M,B,44,BROOKLYN
10082004,M,B,46,BROOKLYN
10082004,M,B,65,BROOKLYN
10082004,M,B,68,BROOKLYN
10082004,M,B,48,BROOKLYN
10082004,M,B,41,BROOKLYN
10132004,M,B,50,BROOKLYN
10162004,M,B,34,BROOKLYN
12012004,M,B,20,BROOKLYN
01082004,F,B,27,BROOKLYN
01152004,Z,Z,25,BROOKLYN
01192004,M,B,68,BROOKLYN
01192004,Z,Z,40,BROOKLYN
01242004,M,B,24,BROOKLYN
02062004,M,B,16,BROOKLYN
02072004,F,Q,39,BROOKLYN
02072004,M,Q,29,BROOKLYN
02142004,M,B,26,BROOKLYN
02142004,Z,Z,25,BROOKLYN
02172004,M,B,17,BROOKLYN
02172004,M,B,22,BROOKLYN
02172004,M,B,24,BROOKLYN
02232004,M,Q,16,BROOKLYN
02262004,M,B,30,BROOKLYN
02272004,M,B,24,BROOKLYN
02272004,M,Q,32,BROOKLYN
02272004,M,Q,23,BROOKLYN
03052004,M,B,17,BROOKLYN
03052004,M,B,16,BROOKLYN
03172004,M,Q,23,BROOKLYN
